"SUL"	"Reuse"	"DeltaM"	"Method"	"N"	"EQ_Resets"	"sd"	"se"	"ci"
"srv_100m"	"srv_097"	139	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_097"	139	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_097"	139	"DL*M"	500	4078.088	29.7330180224182	1.32970098948707	2.61250261527065
"srv_100m"	"srv_097c"	130	"∂L*M"	500	4075	0	0	0
"srv_100m"	"srv_097c"	130	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_097c"	130	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_097c"	130	"DL*M"	500	4076	0	0	0
"srv_100m"	"srv_097e"	117	"∂L*M"	500	4075	0	0	0
"srv_100m"	"srv_097e"	117	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_097e"	117	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_097e"	117	"DL*M"	500	4076	0	0	0
"srv_100m"	"srv_098f"	80	"∂L*M"	500	4075	0	0	0
"srv_100m"	"srv_098f"	80	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_098f"	80	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_098f"	80	"DL*M"	500	4076	0	0	0
"srv_100m"	"srv_098l"	55	"∂L*M"	500	4075.112	0.460303985990821	0.0205854200597917	0.0404447798173004
"srv_100m"	"srv_098l"	55	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_098l"	55	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_098l"	55	"DL*M"	500	4075.944	0.230151992995411	0.0102927100298959	0.0202223899086502
"srv_100m"	"srv_098m"	52	"∂L*M"	500	4075	0	0	0
"srv_100m"	"srv_098m"	52	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_098m"	52	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_098m"	52	"DL*M"	500	4076	0	0	0
"srv_100m"	"srv_098s"	29	"∂L*M"	500	4075.044	0.293660472222415	0.0131328955638802	0.0258025859031272
"srv_100m"	"srv_098s"	29	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_098s"	29	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_098s"	29	"DL*M"	500	4075.978	0.146830236111208	0.00656644778194009	0.0129012929515636
"srv_100m"	"srv_098u"	27	"∂L*M"	500	4075.976	1.00071317254617	0.0447532535958541	0.0879280326821
"srv_100m"	"srv_098u"	27	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_098u"	27	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_098u"	27	"DL*M"	500	4075	0	0	0
"srv_100m"	"srv_098za"	0	"∂L*M"	500	4075.972	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_100m"	"srv_098za"	0	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M"	500	4075	0	0	0
"srv_100m"	"srv_100"	50	"∂L*M"	500	4075	0	0	0
"srv_100m"	"srv_100"	50	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_100"	50	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_100"	50	"DL*M"	500	4076	0	0	0
"srv_100m"	"srv_100f"	29	"∂L*M"	500	4075.04	0.280280420701227	0.0125345214690037	0.0246269427321177
"srv_100m"	"srv_100f"	29	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_100f"	29	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_100f"	29	"DL*M"	500	4075.98	0.140140210350614	0.00626726073450183	0.0123134713660588
"srv_100m"	"srv_100h"	27	"∂L*M"	500	4075.984	1.00087336611081	0.044760417669856	0.0879421081488508
"srv_100m"	"srv_100h"	27	"Adp"	500	4075	0	0	0
"srv_100m"	"srv_100h"	27	"DL*M+"	500	4075	0	0	0
"srv_100m"	"srv_100h"	27	"DL*M"	500	4075	0	0	0
